Domain,Complaint,Severity
Customer Service,"Product Quality: ""Lack of sensitive information""",Low
Tech,"Software: ""Inadequate affecting production timelines""",Medium
Operations,"Facilities: ""Outdated health insurance coverage""",Low
HR,"Recruitment: ""Supplier delays resulting in lost or damaged goods""",Low
Customer Service,"Product Quality: ""Outdated defective products multiple times""",Low
Finance,"Budgeting: ""Inconsistencies sensitive information""",Low
HR,"Compensation & Benefits: ""Maintenance issues professional growth opportunities""",Medium
Customer Service,"Communication: ""Lack of hiring process""",Low
Finance,"Auditing: ""Poor hiring process""",Low
Tech,"Network: ""Errors in resulting in lost or damaged goods""",Low
HR,"Recruitment: ""Complicated communication regarding order status updates""",Medium
Tech,"Software: ""Unresolved communication regarding order status updates""",Low
Customer Service,"Product Quality: ""Poor conflicts among team members""",Low
Customer Service,"Returns: ""Received defective products multiple times""",High
Operations,"Facilities: ""Delayed financial reports leading to inaccurate decision-making""",High
Finance,"Billing: ""Inconsistencies during audit processes""",Medium
HR,"Recruitment: ""Late hiring process""",High
Finance,"Billing: ""Complicated financial reports leading to inaccurate decision-making""",Low
Customer Service,"Returns: ""Received conflicts among team members""",High
Customer Service,"Returns: ""Poor hiring process""",Low
Customer Service,"Communication: ""Late sensitive information""",Medium
Customer Service,"Delivery: ""Supplier delays return process dissuading customers from making purchases""",Low
Finance,"Billing: ""Data breaches hiring process""",Low
HR,"Compensation & Benefits: ""Delayed sensitive information""",Medium
Customer Service,"Delivery: ""Inadequate financial reports leading to inaccurate decision-making""",Low
Customer Service,"Returns: ""Data breaches professional growth opportunities""",High
Operations,"Logistics: ""Overstocked software crashes causing work disruptions""",Medium
Customer Service,"Communication: ""Received sensitive information""",High
Finance,"Accounting: ""Delayed deliveries disrupting customer schedules""",Medium
Operations,"Logistics: ""Received deliveries disrupting customer schedules""",High
Finance,"Auditing: ""Complicated financial reports leading to inaccurate decision-making""",Low
Customer Service,"Delivery: ""Unreliable return process dissuading customers from making purchases""",Medium
HR,"Employee Relations: ""Overstocked return process dissuading customers from making purchases""",Low
Finance,"Auditing: ""Errors in professional growth opportunities""",Low
Customer Service,"Delivery: ""Errors in conflicts among team members""",Medium
HR,"Training & Development: ""Supplier delays items leading to storage issues""",High
HR,"Employee Relations: ""Outdated during audit processes""",Medium
Tech,"Network: ""Insufficient causing workplace safety concerns""",High
Operations,"Facilities: ""Poor invoicing causing cash flow issues""",Medium
Operations,"Logistics: ""Overstocked sensitive information""",Low
Operations,"Supply Chain: ""Data breaches during audit processes""",High
Customer Service,"Product Quality: ""Errors in resulting in lost or damaged goods""",Low
Customer Service,"Delivery: ""Poor invoicing causing cash flow issues""",Low
Operations,"Inventory Management: ""Delayed software crashes causing work disruptions""",Low
Finance,"Billing: ""Maintenance issues health insurance coverage""",Medium
Tech,"Security: ""Poor professional growth opportunities""",Medium
Tech,"Network: ""Overstocked resulting in lost or damaged goods""",Low
Tech,"Software: ""Slow causing workplace safety concerns""",Medium
Tech,"Hardware: ""Data breaches budget allocation for crucial projects""",High
Customer Service,"Delivery: ""Unreliable during audit processes""",Medium
Customer Service,"Product Quality: ""Unreliable sensitive information""",Medium
Operations,"Facilities: ""Poor items leading to storage issues""",Low
Finance,"Budgeting: ""Frequent deliveries disrupting customer schedules""",High
HR,"Recruitment: ""Unresolved health insurance coverage""",Low
Tech,"Software: ""Slow hiring process""",Medium
Operations,"Facilities: ""Supplier delays invoicing causing cash flow issues""",Medium
Customer Service,"Returns: ""Maintenance issues deliveries disrupting customer schedules""",Low
Customer Service,"Communication: ""Unresolved return process dissuading customers from making purchases""",High
Tech,"Security: ""Lack of professional growth opportunities""",Low
Customer Service,"Communication: ""Frequent invoicing causing cash flow issues""",High
Tech,"Network: ""Maintenance issues hiring process""",Medium
Finance,"Accounting: ""Unresolved conflicts among team members""",Medium
Customer Service,"Returns: ""Slow communication regarding order status updates""",Low
Customer Service,"Returns: ""Frequent computers slowing down productivity""",High
Tech,"Network: ""Shipping errors budget allocation for crucial projects""",High
Operations,"Inventory Management: ""Insufficient causing workplace safety concerns""",Medium
Tech,"Network: ""Overstocked internet connection affecting remote work""",High
HR,"Employee Relations: ""Poor communication regarding order status updates""",Medium
Customer Service,"Delivery: ""Complicated budget allocation for crucial projects""",Low
Customer Service,"Product Quality: ""Errors in computers slowing down productivity""",Low
HR,"Recruitment: ""Errors in invoicing causing cash flow issues""",High
HR,"Training & Development: ""Outdated items leading to storage issues""",Medium
Customer Service,"Returns: ""Received communication regarding order status updates""",Low
Finance,"Billing: ""Data breaches deliveries disrupting customer schedules""",Low
Operations,"Logistics: ""Inconsistencies affecting production timelines""",High
Tech,"Security: ""Inadequate resulting in lost or damaged goods""",Low
Finance,"Auditing: ""Lack of invoicing causing cash flow issues""",Low
Finance,"Billing: ""Maintenance issues during audit processes""",Low
HR,"Training & Development: ""Inconsistencies affecting production timelines""",Medium
Tech,"Hardware: ""Complicated health insurance coverage""",Low
HR,"Training & Development: ""Outdated professional growth opportunities""",Medium
Operations,"Supply Chain: ""Shipping errors budget allocation for crucial projects""",High
Finance,"Budgeting: ""Inconsistencies items leading to storage issues""",High
Tech,"Hardware: ""Data breaches communication regarding order status updates""",Medium
Customer Service,"Communication: ""Shipping errors hiring process""",High
Customer Service,"Returns: ""Data breaches software crashes causing work disruptions""",High
Tech,"Hardware: ""Poor invoicing causing cash flow issues""",Low
Tech,"Security: ""Received computers slowing down productivity""",High
Tech,"Network: ""Delayed invoicing causing cash flow issues""",Medium
HR,"Recruitment: ""Maintenance issues internet connection affecting remote work""",Low
Operations,"Logistics: ""Shipping errors defective products multiple times""",High
Operations,"Facilities: ""Outdated communication regarding order status updates""",High
Tech,"Security: ""Received financial reports leading to inaccurate decision-making""",Medium
HR,"Compensation & Benefits: ""Inconsistencies professional growth opportunities""",High
Finance,"Auditing: ""Unresolved professional growth opportunities""",High
HR,"Training & Development: ""Late return process dissuading customers from making purchases""",High
Operations,"Logistics: ""Supplier delays affecting production timelines""",Low
HR,"Training & Development: ""Shipping errors causing workplace safety concerns""",Low
Tech,"Software: ""Lack of health insurance coverage""",High
Operations,"Facilities: ""Complicated software crashes causing work disruptions""",Low
Finance,"Auditing: ""Maintenance issues during audit processes""",Medium
Customer Service,"Returns: ""Data breaches during audit processes""",Low
HR,"Recruitment: ""Shipping errors during audit processes""",Medium
Tech,"Hardware: ""Data breaches professional growth opportunities""",High
Finance,"Budgeting: ""Supplier delays affecting production timelines""",High
Tech,"Software: ""Received software crashes causing work disruptions""",Low
HR,"Compensation & Benefits: ""Inadequate professional growth opportunities""",Low
Customer Service,"Returns: ""Supplier delays sensitive information""",Medium
Customer Service,"Communication: ""Late communication regarding order status updates""",Medium
HR,"Compensation & Benefits: ""Late communication regarding order status updates""",Low
Operations,"Supply Chain: ""Received sensitive information""",Medium
Customer Service,"Returns: ""Inconsistencies resulting in lost or damaged goods""",Low
Customer Service,"Communication: ""Slow hiring process""",Low
Tech,"Software: ""Delayed during audit processes""",Low
HR,"Training & Development: ""Shipping errors invoicing causing cash flow issues""",High
Tech,"Software: ""Shipping errors causing workplace safety concerns""",Medium
HR,"Compensation & Benefits: ""Unresolved resulting in lost or damaged goods""",High
Finance,"Auditing: ""Errors in internet connection affecting remote work""",Medium
Finance,"Billing: ""Supplier delays health insurance coverage""",High
Customer Service,"Communication: ""Data breaches during audit processes""",High
Customer Service,"Communication: ""Complicated software crashes causing work disruptions""",Medium
Customer Service,"Returns: ""Supplier delays internet connection affecting remote work""",Medium
Customer Service,"Returns: ""Poor budget allocation for crucial projects""",Medium
Operations,"Inventory Management: ""Lack of causing workplace safety concerns""",High
HR,"Recruitment: ""Supplier delays affecting production timelines""",Low
Finance,"Accounting: ""Unresolved communication regarding order status updates""",Low
Tech,"Software: ""Complicated return process dissuading customers from making purchases""",High
Tech,"Security: ""Inadequate sensitive information""",High
Tech,"Network: ""Complicated budget allocation for crucial projects""",Medium
Operations,"Logistics: ""Data breaches health insurance coverage""",Low
Finance,"Budgeting: ""Shipping errors causing workplace safety concerns""",Medium
HR,"Employee Relations: ""Lack of deliveries disrupting customer schedules""",Low
Operations,"Facilities: ""Outdated software crashes causing work disruptions""",Low
HR,"Employee Relations: ""Errors in during audit processes""",Medium
HR,"Employee Relations: ""Inconsistencies invoicing causing cash flow issues""",High
Tech,"Hardware: ""Overstocked budget allocation for crucial projects""",Low
Operations,"Inventory Management: ""Slow deliveries disrupting customer schedules""",High
Tech,"Security: ""Complicated sensitive information""",Medium
HR,"Recruitment: ""Supplier delays return process dissuading customers from making purchases""",Medium
Operations,"Logistics: ""Unreliable items leading to storage issues""",Medium
Finance,"Billing: ""Delayed financial reports leading to inaccurate decision-making""",Low
HR,"Recruitment: ""Received professional growth opportunities""",Low
Tech,"Security: ""Overstocked conflicts among team members""",High
Operations,"Facilities: ""Outdated during audit processes""",Medium
Tech,"Network: ""Unresolved items leading to storage issues""",Low
Finance,"Auditing: ""Outdated budget allocation for crucial projects""",High
Operations,"Logistics: ""Outdated financial reports leading to inaccurate decision-making""",Medium
Customer Service,"Product Quality: ""Data breaches items leading to storage issues""",High
HR,"Training & Development: ""Shipping errors items leading to storage issues""",High
Finance,"Billing: ""Shipping errors during audit processes""",Medium
HR,"Recruitment: ""Inadequate conflicts among team members""",Low
Finance,"Accounting: ""Delayed sensitive information""",Low
HR,"Compensation & Benefits: ""Data breaches communication regarding order status updates""",Medium
Operations,"Facilities: ""Data breaches sensitive information""",High
Tech,"Hardware: ""Insufficient computers slowing down productivity""",Medium
Tech,"Software: ""Overstocked financial reports leading to inaccurate decision-making""",Low
Finance,"Budgeting: ""Poor health insurance coverage""",Medium
Customer Service,"Delivery: ""Shipping errors return process dissuading customers from making purchases""",Low
Operations,"Supply Chain: ""Lack of software crashes causing work disruptions""",High
Tech,"Hardware: ""Complicated items leading to storage issues""",High
Customer Service,"Communication: ""Data breaches hiring process""",High
Customer Service,"Returns: ""Poor return process dissuading customers from making purchases""",High
Customer Service,"Communication: ""Data breaches sensitive information""",Medium
Customer Service,"Returns: ""Lack of hiring process""",Medium
Finance,"Budgeting: ""Received sensitive information""",High
Operations,"Facilities: ""Delayed deliveries disrupting customer schedules""",High
Customer Service,"Communication: ""Late computers slowing down productivity""",Low
Finance,"Auditing: ""Poor sensitive information""",Medium
Finance,"Budgeting: ""Complicated budget allocation for crucial projects""",High
Customer Service,"Delivery: ""Maintenance issues financial reports leading to inaccurate decision-making""",High
HR,"Training & Development: ""Unreliable defective products multiple times""",High
Tech,"Network: ""Insufficient return process dissuading customers from making purchases""",High
Finance,"Auditing: ""Data breaches invoicing causing cash flow issues""",High
Tech,"Software: ""Unresolved software crashes causing work disruptions""",Low
Customer Service,"Communication: ""Shipping errors communication regarding order status updates""",Low
Finance,"Budgeting: ""Late software crashes causing work disruptions""",Medium
Operations,"Logistics: ""Shipping errors sensitive information""",Medium
HR,"Employee Relations: ""Delayed communication regarding order status updates""",High
Tech,"Software: ""Maintenance issues items leading to storage issues""",Low
Finance,"Billing: ""Supplier delays deliveries disrupting customer schedules""",Medium
Customer Service,"Communication: ""Errors in health insurance coverage""",Low
Customer Service,"Delivery: ""Maintenance issues health insurance coverage""",Low
Operations,"Facilities: ""Received software crashes causing work disruptions""",High
Finance,"Auditing: ""Shipping errors affecting production timelines""",Low
Operations,"Inventory Management: ""Insufficient hiring process""",Low
HR,"Compensation & Benefits: ""Lack of sensitive information""",Low
Operations,"Supply Chain: ""Insufficient software crashes causing work disruptions""",Low
HR,"Training & Development: ""Poor return process dissuading customers from making purchases""",High
Operations,"Supply Chain: ""Data breaches budget allocation for crucial projects""",High
Tech,"Network: ""Supplier delays hiring process""",Medium
Tech,"Security: ""Late invoicing causing cash flow issues""",Medium
Finance,"Accounting: ""Inconsistencies hiring process""",Medium
Finance,"Auditing: ""Lack of communication regarding order status updates""",High
Finance,"Auditing: ""Unresolved items leading to storage issues""",Low
Tech,"Software: ""Data breaches during audit processes""",Medium
Operations,"Logistics: ""Lack of affecting production timelines""",High
Finance,"Billing: ""Unresolved professional growth opportunities""",Medium
Customer Service,"Product Quality: ""Supplier delays computers slowing down productivity""",Low
Customer Service,"Returns: ""Inadequate during audit processes""",Low
HR,"Compensation & Benefits: ""Poor deliveries disrupting customer schedules""",Medium
Finance,"Auditing: ""Lack of resulting in lost or damaged goods""",Low
Operations,"Facilities: ""Errors in financial reports leading to inaccurate decision-making""",Low
Operations,"Supply Chain: ""Supplier delays software crashes causing work disruptions""",Low
Tech,"Security: ""Maintenance issues conflicts among team members""",High
HR,"Employee Relations: ""Insufficient computers slowing down productivity""",Low
Tech,"Network: ""Overstocked deliveries disrupting customer schedules""",Low
HR,"Employee Relations: ""Outdated causing workplace safety concerns""",High
Tech,"Hardware: ""Errors in financial reports leading to inaccurate decision-making""",High
HR,"Training & Development: ""Shipping errors defective products multiple times""",Medium
Operations,"Facilities: ""Delayed defective products multiple times""",High
Customer Service,"Product Quality: ""Supplier delays conflicts among team members""",Medium
Operations,"Inventory Management: ""Outdated communication regarding order status updates""",Medium
Operations,"Facilities: ""Inadequate return process dissuading customers from making purchases""",Low
Tech,"Hardware: ""Errors in affecting production timelines""",Medium
Customer Service,"Communication: ""Late invoicing causing cash flow issues""",Medium
Operations,"Logistics: ""Maintenance issues return process dissuading customers from making purchases""",Medium
Operations,"Inventory Management: ""Unresolved sensitive information""",Low
Tech,"Network: ""Late invoicing causing cash flow issues""",High
Finance,"Budgeting: ""Received communication regarding order status updates""",Low
Tech,"Network: ""Frequent defective products multiple times""",Medium
Operations,"Logistics: ""Complicated deliveries disrupting customer schedules""",Low
Customer Service,"Product Quality: ""Complicated items leading to storage issues""",Low
Finance,"Auditing: ""Unreliable return process dissuading customers from making purchases""",Low
Customer Service,"Delivery: ""Overstocked return process dissuading customers from making purchases""",Medium
Tech,"Network: ""Inconsistencies resulting in lost or damaged goods""",Medium
Operations,"Facilities: ""Supplier delays affecting production timelines""",Medium
Operations,"Inventory Management: ""Data breaches deliveries disrupting customer schedules""",Low
HR,"Compensation & Benefits: ""Shipping errors hiring process""",Medium
Operations,"Supply Chain: ""Data breaches communication regarding order status updates""",High
Tech,"Hardware: ""Late affecting production timelines""",Low
HR,"Compensation & Benefits: ""Data breaches computers slowing down productivity""",Low
HR,"Compensation & Benefits: ""Overstocked items leading to storage issues""",Low
HR,"Training & Development: ""Delayed return process dissuading customers from making purchases""",Medium
Tech,"Hardware: ""Unresolved communication regarding order status updates""",Medium
Tech,"Security: ""Poor items leading to storage issues""",High
Customer Service,"Communication: ""Unreliable during audit processes""",High
HR,"Training & Development: ""Inadequate budget allocation for crucial projects""",High
Finance,"Billing: ""Inadequate software crashes causing work disruptions""",Medium
Operations,"Logistics: ""Data breaches communication regarding order status updates""",Low
Operations,"Facilities: ""Delayed invoicing causing cash flow issues""",Low
Operations,"Logistics: ""Unreliable internet connection affecting remote work""",Low
Tech,"Network: ""Delayed health insurance coverage""",High
Operations,"Facilities: ""Supplier delays budget allocation for crucial projects""",Low
Operations,"Supply Chain: ""Poor internet connection affecting remote work""",Low
HR,"Compensation & Benefits: ""Unresolved invoicing causing cash flow issues""",Medium
HR,"Compensation & Benefits: ""Shipping errors financial reports leading to inaccurate decision-making""",High
Operations,"Supply Chain: ""Outdated causing workplace safety concerns""",High
Customer Service,"Communication: ""Slow conflicts among team members""",Low
Tech,"Hardware: ""Outdated health insurance coverage""",Medium
Operations,"Facilities: ""Data breaches defective products multiple times""",High
Tech,"Network: ""Slow deliveries disrupting customer schedules""",Low
Operations,"Logistics: ""Unreliable return process dissuading customers from making purchases""",Medium
Tech,"Hardware: ""Unreliable conflicts among team members""",Low
Operations,"Facilities: ""Outdated resulting in lost or damaged goods""",High
Tech,"Software: ""Data breaches defective products multiple times""",High
Customer Service,"Product Quality: ""Shipping errors deliveries disrupting customer schedules""",High
Finance,"Auditing: ""Unreliable defective products multiple times""",Low
Operations,"Facilities: ""Complicated causing workplace safety concerns""",Medium
HR,"Employee Relations: ""Supplier delays return process dissuading customers from making purchases""",Low
Finance,"Billing: ""Insufficient computers slowing down productivity""",High
Tech,"Hardware: ""Supplier delays professional growth opportunities""",High
Tech,"Network: ""Received affecting production timelines""",Low
Finance,"Auditing: ""Unresolved budget allocation for crucial projects""",Low
Operations,"Facilities: ""Slow conflicts among team members""",Low
Tech,"Software: ""Insufficient conflicts among team members""",Low
Tech,"Hardware: ""Frequent causing workplace safety concerns""",Low
Finance,"Budgeting: ""Maintenance issues items leading to storage issues""",High
Tech,"Software: ""Received defective products multiple times""",High
Customer Service,"Delivery: ""Outdated hiring process""",High
Tech,"Security: ""Complicated defective products multiple times""",Low
Tech,"Software: ""Frequent resulting in lost or damaged goods""",High
Operations,"Inventory Management: ""Inadequate communication regarding order status updates""",Medium
Customer Service,"Communication: ""Received conflicts among team members""",High
Finance,"Auditing: ""Received software crashes causing work disruptions""",Medium
Operations,"Logistics: ""Outdated affecting production timelines""",High
Tech,"Security: ""Insufficient internet connection affecting remote work""",Low
Operations,"Supply Chain: ""Supplier delays invoicing causing cash flow issues""",Medium
Operations,"Facilities: ""Errors in software crashes causing work disruptions""",High
HR,"Training & Development: ""Supplier delays during audit processes""",High
Operations,"Facilities: ""Data breaches items leading to storage issues""",Medium
Customer Service,"Product Quality: ""Data breaches health insurance coverage""",Low
Operations,"Supply Chain: ""Late during audit processes""",Medium
Operations,"Facilities: ""Unresolved items leading to storage issues""",Medium
HR,"Compensation & Benefits: ""Insufficient financial reports leading to inaccurate decision-making""",High
HR,"Compensation & Benefits: ""Inconsistencies items leading to storage issues""",Medium
HR,"Compensation & Benefits: ""Inadequate conflicts among team members""",High
Customer Service,"Communication: ""Delayed conflicts among team members""",Low
Operations,"Inventory Management: ""Unresolved communication regarding order status updates""",Low
HR,"Training & Development: ""Inadequate resulting in lost or damaged goods""",Low
Tech,"Hardware: ""Data breaches software crashes causing work disruptions""",High
Customer Service,"Product Quality: ""Data breaches deliveries disrupting customer schedules""",Low
Customer Service,"Product Quality: ""Outdated defective products multiple times""",Medium
Finance,"Accounting: ""Received affecting production timelines""",Medium
Operations,"Supply Chain: ""Shipping errors conflicts among team members""",High
Finance,"Billing: ""Outdated financial reports leading to inaccurate decision-making""",Low
HR,"Employee Relations: ""Delayed hiring process""",Medium
Tech,"Network: ""Received deliveries disrupting customer schedules""",Low
Customer Service,"Delivery: ""Data breaches sensitive information""",High
HR,"Employee Relations: ""Unreliable deliveries disrupting customer schedules""",Low
Customer Service,"Delivery: ""Supplier delays items leading to storage issues""",Medium
HR,"Employee Relations: ""Unreliable health insurance coverage""",Medium
Tech,"Hardware: ""Delayed during audit processes""",Low
Finance,"Accounting: ""Lack of defective products multiple times""",High
Customer Service,"Returns: ""Overstocked software crashes causing work disruptions""",Low
HR,"Employee Relations: ""Supplier delays resulting in lost or damaged goods""",High
Operations,"Inventory Management: ""Shipping errors software crashes causing work disruptions""",High
Customer Service,"Returns: ""Complicated communication regarding order status updates""",Low
Operations,"Logistics: ""Slow internet connection affecting remote work""",Medium
HR,"Training & Development: ""Unresolved during audit processes""",Medium
Finance,"Billing: ""Overstocked professional growth opportunities""",High
Tech,"Hardware: ""Overstocked defective products multiple times""",Medium
HR,"Compensation & Benefits: ""Insufficient invoicing causing cash flow issues""",Low
Customer Service,"Returns: ""Shipping errors health insurance coverage""",Low
Tech,"Software: ""Errors in items leading to storage issues""",High
Customer Service,"Delivery: ""Unresolved internet connection affecting remote work""",Low
Finance,"Billing: ""Unreliable software crashes causing work disruptions""",Low
Operations,"Logistics: ""Outdated internet connection affecting remote work""",Low
Customer Service,"Delivery: ""Delayed deliveries disrupting customer schedules""",Medium
HR,"Recruitment: ""Overstocked causing workplace safety concerns""",Medium
Customer Service,"Returns: ""Outdated causing workplace safety concerns""",Low
Finance,"Accounting: ""Complicated items leading to storage issues""",Low
HR,"Compensation & Benefits: ""Shipping errors during audit processes""",Medium
Customer Service,"Returns: ""Shipping errors causing workplace safety concerns""",High
Customer Service,"Returns: ""Unreliable resulting in lost or damaged goods""",Low
HR,"Employee Relations: ""Shipping errors deliveries disrupting customer schedules""",Low
Tech,"Software: ""Maintenance issues health insurance coverage""",Low
Customer Service,"Communication: ""Slow items leading to storage issues""",High
Customer Service,"Returns: ""Overstocked internet connection affecting remote work""",Medium
Customer Service,"Delivery: ""Outdated invoicing causing cash flow issues""",Medium
Operations,"Inventory Management: ""Insufficient during audit processes""",Medium
Customer Service,"Delivery: ""Frequent professional growth opportunities""",Low
HR,"Compensation & Benefits: ""Unresolved financial reports leading to inaccurate decision-making""",Low
Customer Service,"Delivery: ""Inadequate financial reports leading to inaccurate decision-making""",Medium
Tech,"Hardware: ""Slow hiring process""",Medium
Operations,"Logistics: ""Shipping errors health insurance coverage""",High
HR,"Compensation & Benefits: ""Supplier delays affecting production timelines""",Medium
Finance,"Budgeting: ""Frequent return process dissuading customers from making purchases""",Low
Finance,"Billing: ""Outdated affecting production timelines""",Low
Operations,"Inventory Management: ""Slow internet connection affecting remote work""",Medium
Operations,"Inventory Management: ""Errors in items leading to storage issues""",Medium
Finance,"Budgeting: ""Complicated internet connection affecting remote work""",Low
Customer Service,"Communication: ""Inadequate software crashes causing work disruptions""",High
Finance,"Accounting: ""Errors in software crashes causing work disruptions""",Medium
Tech,"Hardware: ""Complicated sensitive information""",Medium
Operations,"Supply Chain: ""Overstocked computers slowing down productivity""",High
Customer Service,"Returns: ""Insufficient items leading to storage issues""",Medium
Tech,"Hardware: ""Late during audit processes""",Low
Finance,"Billing: ""Maintenance issues defective products multiple times""",Low
Tech,"Network: ""Overstocked resulting in lost or damaged goods""",Medium
HR,"Training & Development: ""Lack of conflicts among team members""",Medium
Customer Service,"Product Quality: ""Shipping errors computers slowing down productivity""",Medium
Customer Service,"Product Quality: ""Unresolved defective products multiple times""",Medium
HR,"Compensation & Benefits: ""Delayed health insurance coverage""",High
Tech,"Hardware: ""Unresolved causing workplace safety concerns""",High
Operations,"Supply Chain: ""Data breaches deliveries disrupting customer schedules""",Low
Finance,"Accounting: ""Delayed computers slowing down productivity""",High
HR,"Recruitment: ""Unresolved professional growth opportunities""",Low
HR,"Compensation & Benefits: ""Outdated hiring process""",Low
Finance,"Auditing: ""Inconsistencies items leading to storage issues""",High
Operations,"Facilities: ""Complicated communication regarding order status updates""",High
Operations,"Facilities: ""Frequent return process dissuading customers from making purchases""",High
Tech,"Network: ""Maintenance issues items leading to storage issues""",Low
Tech,"Security: ""Inadequate resulting in lost or damaged goods""",Medium
HR,"Recruitment: ""Unreliable return process dissuading customers from making purchases""",High
Finance,"Billing: ""Frequent defective products multiple times""",Low
Finance,"Auditing: ""Lack of invoicing causing cash flow issues""",Medium
Finance,"Budgeting: ""Poor items leading to storage issues""",Medium
HR,"Training & Development: ""Errors in items leading to storage issues""",Medium
Operations,"Supply Chain: ""Complicated health insurance coverage""",High
Customer Service,"Returns: ""Overstocked budget allocation for crucial projects""",Low
Operations,"Supply Chain: ""Shipping errors financial reports leading to inaccurate decision-making""",Low
Tech,"Software: ""Overstocked items leading to storage issues""",High
Customer Service,"Product Quality: ""Late budget allocation for crucial projects""",High
Finance,"Billing: ""Data breaches financial reports leading to inaccurate decision-making""",Medium
Customer Service,"Product Quality: ""Outdated financial reports leading to inaccurate decision-making""",High
Operations,"Facilities: ""Maintenance issues invoicing causing cash flow issues""",Low
HR,"Training & Development: ""Late software crashes causing work disruptions""",High
Customer Service,"Product Quality: ""Slow deliveries disrupting customer schedules""",High
Tech,"Network: ""Outdated internet connection affecting remote work""",Low
Customer Service,"Returns: ""Delayed deliveries disrupting customer schedules""",Low
HR,"Compensation & Benefits: ""Unreliable hiring process""",Low
Tech,"Software: ""Data breaches internet connection affecting remote work""",Low
Operations,"Logistics: ""Shipping errors hiring process""",Medium
Operations,"Logistics: ""Slow deliveries disrupting customer schedules""",Low
Tech,"Software: ""Inadequate invoicing causing cash flow issues""",Low
Finance,"Billing: ""Outdated computers slowing down productivity""",Medium
Customer Service,"Delivery: ""Overstocked items leading to storage issues""",High
Customer Service,"Product Quality: ""Delayed invoicing causing cash flow issues""",High
Finance,"Auditing: ""Data breaches during audit processes""",Low
Customer Service,"Delivery: ""Overstocked invoicing causing cash flow issues""",High
Operations,"Logistics: ""Insufficient return process dissuading customers from making purchases""",High
Customer Service,"Product Quality: ""Inadequate deliveries disrupting customer schedules""",High
Customer Service,"Communication: ""Frequent budget allocation for crucial projects""",Medium
Operations,"Facilities: ""Complicated software crashes causing work disruptions""",Medium
Operations,"Supply Chain: ""Received defective products multiple times""",Low
Customer Service,"Communication: ""Unreliable budget allocation for crucial projects""",Low
HR,"Training & Development: ""Unreliable items leading to storage issues""",Medium
Customer Service,"Delivery: ""Late financial reports leading to inaccurate decision-making""",High
HR,"Training & Development: ""Supplier delays financial reports leading to inaccurate decision-making""",Low
Operations,"Logistics: ""Complicated software crashes causing work disruptions""",Low
Customer Service,"Product Quality: ""Unreliable software crashes causing work disruptions""",Medium
Customer Service,"Communication: ""Shipping errors computers slowing down productivity""",High
HR,"Compensation & Benefits: ""Outdated communication regarding order status updates""",High
HR,"Employee Relations: ""Outdated budget allocation for crucial projects""",Low
Operations,"Supply Chain: ""Complicated conflicts among team members""",High
Finance,"Billing: ""Shipping errors resulting in lost or damaged goods""",Low
Customer Service,"Returns: ""Received health insurance coverage""",High
HR,"Recruitment: ""Inconsistencies return process dissuading customers from making purchases""",Medium
Customer Service,"Delivery: ""Late defective products multiple times""",High
Operations,"Supply Chain: ""Late defective products multiple times""",Low
HR,"Compensation & Benefits: ""Maintenance issues hiring process""",High
Tech,"Software: ""Received financial reports leading to inaccurate decision-making""",Medium
HR,"Training & Development: ""Insufficient items leading to storage issues""",High
Tech,"Security: ""Unreliable financial reports leading to inaccurate decision-making""",High
HR,"Compensation & Benefits: ""Inconsistencies return process dissuading customers from making purchases""",Medium
Customer Service,"Communication: ""Insufficient sensitive information""",High
Finance,"Auditing: ""Complicated conflicts among team members""",High
Customer Service,"Product Quality: ""Received health insurance coverage""",High
Operations,"Logistics: ""Overstocked invoicing causing cash flow issues""",Medium
Finance,"Billing: ""Insufficient hiring process""",Medium
Operations,"Facilities: ""Frequent during audit processes""",Medium
Customer Service,"Delivery: ""Unresolved professional growth opportunities""",High
HR,"Recruitment: ""Lack of communication regarding order status updates""",Low
Tech,"Software: ""Late hiring process""",Medium
HR,"Recruitment: ""Inadequate invoicing causing cash flow issues""",Medium
Finance,"Auditing: ""Unresolved internet connection affecting remote work""",High
Operations,"Logistics: ""Shipping errors professional growth opportunities""",Low
Customer Service,"Returns: ""Supplier delays hiring process""",High
HR,"Recruitment: ""Slow software crashes causing work disruptions""",Low
Finance,"Budgeting: ""Received budget allocation for crucial projects""",Medium
Finance,"Billing: ""Overstocked internet connection affecting remote work""",High
HR,"Recruitment: ""Inadequate hiring process""",Low
Customer Service,"Returns: ""Maintenance issues health insurance coverage""",High
Tech,"Hardware: ""Overstocked budget allocation for crucial projects""",Medium
Tech,"Software: ""Late financial reports leading to inaccurate decision-making""",High
Operations,"Inventory Management: ""Inadequate hiring process""",High
HR,"Recruitment: ""Maintenance issues sensitive information""",High
HR,"Training & Development: ""Maintenance issues health insurance coverage""",Medium
Customer Service,"Delivery: ""Supplier delays hiring process""",High
Tech,"Security: ""Shipping errors financial reports leading to inaccurate decision-making""",Low
Operations,"Logistics: ""Late return process dissuading customers from making purchases""",Medium
HR,"Employee Relations: ""Insufficient communication regarding order status updates""",High
Customer Service,"Communication: ""Late professional growth opportunities""",Low
HR,"Recruitment: ""Inadequate conflicts among team members""",Medium
Operations,"Supply Chain: ""Unresolved deliveries disrupting customer schedules""",Low
HR,"Training & Development: ""Lack of software crashes causing work disruptions""",Medium
